track_genre,track_count,unique_tracks,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo,mean_popularity,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
hard-rock,998,998,0.4822364729458918,0.794941883767535,-6.744859719438877,0.06644519038076152,0.09046400654308617,0.04929673056112224,0.2211180360721443,0.5141734468937875,125.36580861723448,42.723446893787575,50.60120240480962,1.1022044088176353,41.38276553106213,6.913827655310621
hardcore,999,999,0.5466206206206206,0.8423293293293292,-5.777425425425426,0.14933663663663663,0.06497814095095096,0.06823321402402403,0.23522682682682683,0.49620300300300296,125.32543643643645,36.111111111111114,48.74874874874875,1.3013013013013013,48.248248248248245,1.7017017017017018
hardstyle,998,998,0.5394108216432866,0.9011733466933868,-4.34745991983968,0.12244789579158318,0.05122562354709419,0.14216984853707415,0.2572200400801603,0.3120735470941884,146.90585871743485,26.603206412825653,18.336673346693384,0.0,81.66332665330661,0.0
heavy-metal,998,998,0.4284285571142285,0.8741523046092184,-5.746254509018036,0.07455571142284569,0.014983333076152305,0.08247333289579158,0.2798301603206413,0.3882503006012024,126.61172945891784,26.17935871743487,26.452905811623246,0.1002004008016032,71.5430861723447,1.903807615230461
hip-hop,991,991,0.7359374369323914,0.6823612512613522,-5.993539858728557,0.13032694248234106,0.19508381735620584,0.011005553420787084,0.19206528758829466,0.5505134207870838,116.5698607467205,38.08274470232089,54.692230070635716,4.137235116044399,33.501513622603426,7.669021190716448
honky-tonk,981,981,0.5715239551478083,0.3674647298674822,-11.734132517838939,0.03706890927624873,0.7110663321100917,0.05783453077471967,0.19123302752293578,0.6332191641182466,116.61576554536188,16.41080530071356,17.431192660550458,52.08970438328237,0.9174311926605505,29.561671763506624
house,999,999,0.6684854854854855,0.7551671671671673,-5.264155155155155,0.06942402402402403,0.10876282082082082,0.03802965014014014,0.18808088088088087,0.49446996996997,121.11801501501502,34.189189189189186,47.647647647647645,0.40040040040040037,50.35035035035035,1.6016016016016015
idm,998,998,0.5274834669338677,0.5551592685370741,-12.415854709418836,0.07540871743486975,0.37737687286573146,0.6745702393186372,0.16849168336673345,0.30262254509018033,123.25401903807615,15.759519038076153,18.43687374749499,4.008016032064128,40.28056112224449,37.27454909819639
indian,999,999,0.5924244244244244,0.5671381381381382,-8.848357357357358,0.07212872872872873,0.48516323223223223,0.039447475515515515,0.17295605605605605,0.4633153153153153,116.13914014014014,49.528528528528525,31.03103103103103,9.00900900900901,27.52752752752753,32.432432432432435
indie,997,997,0.5872878635907722,0.5565455366098295,-8.276674022066198,0.06271995987963891,0.3804554531895687,0.05296276255767302,0.16056930792377133,0.4675547642928787,118.99515747241726,38.90672016048144,31.59478435305918,10.631895687061183,28.58575727181545,29.187562688064194
indie-pop,1000,1000,0.60437,0.5611395,-7.996607,0.06586109999999999,0.37235655733,0.04193265404,0.1674189,0.4606154,120.17900900000001,40.657,32.2,8.200000000000001,29.599999999999998,30.0
industrial,1000,1000,0.530416,0.8617453,-6.024399000000001,0.0868167,0.03672752987,0.19203051773,0.2329869,0.4248738,126.831205,31.041,36.9,0.2,60.5,2.4
iranian,988,988,0.3003471659919028,0.5445016220647773,-13.12340991902834,0.09112024291497975,0.4124290670748988,0.5899988377125506,0.19209463562753037,0.15303876518218623,114.61782085020243,2.2246963562753037,2.935222672064777,0.6072874493927125,49.69635627530364,46.76113360323887
j-dance,993,993,0.6802567975830816,0.702961329305136,-6.070189325276939,0.21985518630412892,0.2309824658610272,0.03088637127895267,0.183837361530715,0.5638765357502518,114.92673111782479,26.69385699899295,58.30815709969789,3.0211480362537766,32.62839879154079,6.042296072507553
j-idol,999,999,0.5487577577577578,0.8685928928928929,-3.773912912912913,0.06945085085085086,0.15152347746746747,0.03727337635635636,0.22918608608608607,0.5777104104104104,136.09808608608608,24.713713713713712,64.06406406406407,0.5005005005005005,32.732732732732735,2.7027027027027026
j-pop,998,998,0.5517354709418837,0.6806324649298597,-6.259991983967936,0.05942735470941884,0.28085462386773546,0.011598311923847696,0.19872755511022042,0.5419560120240482,124.69469639278557,41.22444889779559,51.302605210420836,4.909819639278557,26.052104208416832,17.73547094188377
j-rock,1000,1000,0.509069,0.7606839999999999,-5.693655,0.0644018,0.16859578123,0.023455719299999997,0.2236261,0.5377491999999999,128.52244199999998,40.664,53.300000000000004,3.2,32.800000000000004,10.7
jazz,999,999,0.5098918918918919,0.35320463463463464,-11.57537937937938,0.05498698698698699,0.7155452522522522,0.07904012159159159,0.17007517517517518,0.49033633633633633,112.68286886886887,13.586586586586586,14.414414414414415,36.43643643643644,8.308308308308309,40.84084084084084
k-pop,999,999,0.6475765765765765,0.6757577577577577,-6.467934934934934,0.0879074074074074,0.2924496436436437,0.009834892412412413,0.17637647647647647,0.5566818818818818,119.25074174174173,56.906906906906904,54.454454454454456,7.207207207207207,27.427427427427425,10.91091091091091
